ジャイロセンサ角速度, 走行距離, フロア検知ステータス　
-52,722.410828,0
-54,720.997131,0
-50,719.583435,0
-18,718.523132,0
31,717.109436,0
75,716.402588,0
120,714.988892,0
141,713.575195,0
162,712.161499,0
168,711.101196,0
162,710.040894,0
143,708.980591,0
97,707.566895,0
94,706.860046,0
96,706.153198,0
117,705.799744,0
109,705.092896,0
69,704.386047,0
62,704.386047,0
53,703.679199,0
11,703.679199,0
-26,703.679199,0
-73,703.325745,0
-82,703.325745,0
-97,703.325745,0
-85,703.325745,0
-71,703.325745,0
-59,703.325745,0
-18,702.972290,0
6,702.618835,0
2,702.618835,0
4,702.265381,0
20,701.911926,0
6,701.558472,0
-6,701.205017,0
-17,700.851562,0
-12,700.851562,0
-16,0.000000,1
-11,0.000000,1
-12,-0.706858,1
-12,-1.060287,1
-6,-1.413717,1
-4,-1.767146,1
28,-2.120575,1
35,-2.827433,1
44,-3.180862,1
56,-3.887721,1
70,-4.594579,1
88,-4.594579,1
89,-4.948009,1
83,-5.301438,1
72,-5.654867,1
58,-6.008296,1
61,-6.008296,1
46,-6.008296,1
55,-6.008296,1
51,-5.301438,1
49,-5.301438,1
37,-4.594580,1
28,-4.594580,1
21,-3.887722,1
6,-3.180863,1
-1,-2.827434,1
-12,-2.120576,1
-34,-1.060288,1
-50,-0.706859,1
-67,0.353428,1
-91,1.060287,1
-88,1.767145,1
-89,2.827432,1
-53,3.534291,1
-57,4.241149,1
-48,4.948007,1
-16,5.654865,1
-13,6.008295,1
7,6.361724,1
29,7.068582,1
43,7.775440,1
54,8.128869,1
59,8.482298,1
50,9.189157,1
39,9.896015,1
23,10.602874,1
0,10.956303,1
-20,12.016590,1
-36,12.723449,1
-43,13.783736,1
-51,14.490595,1
-52,15.197453,1
-39,16.257740,1
-30,17.318027,1
-18,18.024885,1
-7,19.438602,1
7,20.145460,1
7,20.852318,1
9,22.266035,1
10,23.679752,1
-4,24.386610,1
3,25.800327,1
-3,26.860615,1
15,27.920902,1
12,29.334620,1
-3,30.394907,1
0,31.455194,1
9,32.515480,1
0,33.929195,1
-29,34.989483,1
-32,35.696342,1
-43,37.110058,1
-54,38.523773,1
-56,39.584061,1
-70,40.290920,1
-71,41.704636,1
-68,43.118351,1
-61,44.178638,1
-60,45.238926,1
-56,46.299213,1
-42,47.712929,1
-38,48.773216,1
-34,50.186932,1
-26,50.893791,1
-22,51.954079,1
-17,53.367794,1
-14,54.781509,1
-17,56.195225,1
-22,56.902084,1
-26,58.315800,1
-31,59.376087,1
-37,60.436375,1
-45,61.850090,1
-43,63.263805,1
-45,64.324097,1
-46,65.737816,1
-45,66.798103,1
-44,67.858391,1
-34,69.272110,1
-27,70.685829,1
-30,71.746117,1
-21,72.806404,1
-13,74.220123,1
-11,75.633842,1
-4,76.694130,1
-2,77.754417,1
-5,79.168137,1
-9,80.228424,1
-11,81.288712,1
-19,82.702431,1
-26,84.116150,1
-31,85.176437,1
-28,86.236725,1
-33,87.650444,1
-33,89.064163,1
-35,90.477882,1
-24,91.538170,1
-19,92.598457,1
-18,94.012177,1
-5,95.425896,1
-4,96.839615,1
0,97.546471,1
0,98.960190,1
0,100.020477,1
-1,101.434196,1
-3,102.847916,1
-8,104.261635,1
-7,105.675354,1
-17,106.735641,1
-17,108.149361,1
-16,109.563080,1
-20,110.623367,1
-17,112.037086,1
-18,113.450806,1
-14,114.864525,1
-10,116.278244,1
-11,117.691963,1
-8,118.752251,1
-7,120.165970,1
-5,121.579689,1
-13,122.993408,1
-15,124.407127,1
-14,125.820847,1
-8,127.234566,1
-21,128.648285,1
-29,130.061996,1
-13,131.475708,1
-14,132.889420,1
-18,134.303131,1
-23,136.070282,1
-13,137.837433,1
-12,139.251144,1
-30,140.664856,1
-27,142.078568,1
-6,143.492279,1
-9,144.905991,1
-23,146.673141,1
-19,148.086853,1
-5,149.500565,1
-9,150.914276,1
-9,152.327988,1
-5,154.095139,1
-8,155.508850,1
-5,156.922562,1
-14,159.043137,1
-16,160.456848,1
-15,161.870560,1
-11,163.637711,1
-10,165.051422,1
-14,166.465134,1
-13,168.232285,1
-7,169.645996,1
-12,171.413147,1
-18,173.180298,1
-23,174.947449,1
-21,176.361160,1
-22,178.128311,1
-23,180.248886,1
-36,181.662598,1
-27,183.429749,1
-28,185.196899,1
-29,186.610611,1
-36,188.731186,1
-35,190.498337,1
-27,192.265488,1
-25,194.386063,1
-31,195.799774,1
-30,197.566925,1
-23,199.334076,1
-31,201.454651,1
-25,203.221802,1
-17,204.635513,1
-35,206.756088,1
-28,208.876663,1
-24,210.290375,1
-37,212.410950,1
-36,214.531525,1
-27,215.945236,1
-31,218.065811,1
-28,219.832962,1
-23,221.600113,1
-30,223.367264,1
-28,225.487839,1
-23,227.254990,1
-34,229.375565,1
-28,231.142715,1
-29,232.909866,1
-35,234.677017,1
-30,236.797592,1
-27,238.564743,1
-41,240.331894,1
-30,242.452469,1
-25,244.219620,1
-34,245.986771,1
-32,248.107346,1
-28,249.874496,1
-36,251.641647,1
-27,253.408798,1
-25,255.529373,1
-35,256.943085,1
-40,259.063660,1
-31,261.184235,1
-40,262.597961,1
-40,264.718536,1
-33,266.485687,1
-28,268.252838,1
-33,269.666565,1
-29,271.433716,1
-30,273.554291,1
-22,274.968018,1
-20,276.735168,1
-27,278.502319,1
-29,280.269470,1
-24,282.036621,1
-18,283.450348,1
-24,284.864075,1
-20,286.984650,1
-14,288.398376,1
-20,290.165527,1
-11,291.579254,1
-7,292.992981,1
-15,294.760132,1
-10,296.527283,1
-5,297.941010,1
-9,299.708160,1
-17,301.121887,1
-8,302.535614,1
-8,303.949341,1
-11,305.363068,1
-14,307.130219,1
-20,308.543945,1
-11,310.311096,1
-15,311.724823,1
-18,313.138550,1
-17,314.552277,1
-11,315.966003,1
-5,317.379730,1
-16,318.793457,1
-13,320.207184,1
-5,321.620911,1
-5,323.388062,1
-20,324.801788,1
-12,326.215515,1
-12,327.629242,1
-9,329.042969,1
-16,330.456696,1
-14,331.870422,1
-11,333.284149,1
-8,334.697876,1
-14,336.111603,1
23,337.525330,1
41,338.585632,1
48,339.999359,1
53,341.413086,1
34,342.826813,1
5,343.887085,1
10,345.300812,1
-12,346.714539,1
-54,348.128265,1
-60,349.188538,1
-77,350.602264,1
-98,351.309113,1
-97,352.722839,1
-92,353.783142,1
-79,354.843445,1
-79,355.903748,1
-70,356.964050,1
-71,357.670898,1
-70,358.377747,1
-69,359.084595,1
-61,359.438019,1
-32,359.791443,1
0,360.498291,1
11,360.498291,1
35,360.498291,1
81,360.851715,1
94,360.851715,1
115,360.851715,1
111,360.498291,1
93,360.144867,1
89,360.144867,1
79,360.144867,1
65,360.498291,1
64,360.498291,1
69,360.851715,1
62,360.851715,1
56,360.851715,1
52,360.851715,1
39,360.851715,1
30,361.205139,1
33,0.000000,2
38,0.353429,2
35,0.706858,2
44,0.706858,2
52,1.060287,2
50,1.767146,2
51,1.767146,2
47,2.474004,2
32,2.827433,2
20,3.534292,2
1,3.887721,2
-5,4.594579,2
-19,5.301437,2
-59,6.008296,2
-61,6.715154,2
-66,7.422012,2
-72,8.128870,2
-74,9.189157,2
-65,9.542586,2
-52,10.602874,2
-47,10.956303,2
-24,11.663161,2
-23,12.016590,2
-18,12.370019,2
-6,13.076878,2
-4,13.430306,2
7,13.783735,2
11,14.137164,2
20,14.490593,2
27,14.844022,2
35,15.197451,2
40,15.197451,2
46,15.904309,2
56,15.904309,2
59,16.611168,2
50,16.964598,2
25,17.318027,2
11,18.024885,2
0,18.378315,2
-24,19.085173,2
-47,19.792030,2
-61,20.145460,2
-66,20.852318,2
-63,21.559175,2
-60,22.266033,2
-59,22.972891,2
-42,23.679749,2
-27,23.679749,2
-18,24.386606,2
-3,24.740036,2
2,25.093466,2
14,25.446896,2
20,25.446896,2
24,25.800325,2
34,26.507183,2
37,26.507183,2
48,26.860613,2
55,26.860613,2
50,27.214043,2
31,27.920900,2
12,28.274330,2
4,28.627760,2
-6,29.334618,2
-24,29.688047,2
-50,30.394905,2
-52,31.101763,2
-52,31.101763,2
-55,32.162048,2
-56,32.515476,2
-50,33.222336,2
-27,33.575764,2
-11,33.929192,2
1,33.929192,2
7,34.636051,2
11,35.342911,2
27,35.342911,2
33,35.342911,2
38,36.049770,2
41,36.756630,2
33,36.756630,2
4,37.463490,2
-9,38.170349,2
-18,38.877209,2
-41,39.584068,2
-47,39.584068,2
-71,40.997784,2
-67,40.997784,2
-70,41.704643,2
-66,42.411503,2
-60,43.118362,2
-44,43.825222,2
-21,43.825222,2
-15,44.532082,2
-5,45.238941,2
3,45.238941,2
16,45.238941,2
20,45.945801,2
31,45.945801,2
39,46.652660,2
42,46.652660,2
43,46.652660,2
30,47.006088,2
10,47.359516,2
4,47.712944,2
-10,48.066372,2
-16,48.066372,2
-25,48.419800,2
-27,49.126659,2
-25,49.480087,2
-25,49.480087,2
-16,49.833515,2
-6,49.833515,2
8,50.186943,2
21,50.540371,2
24,50.540371,2
30,50.540371,2
37,50.540371,2
37,50.893799,2
30,51.247227,2
25,51.247227,2
17,51.600655,2
8,51.600655,2
-1,51.954082,2
-4,51.954082,2
-10,52.660942,2
-10,52.660942,2
-14,53.014370,2
-11,53.367798,2
-10,53.721226,2
-4,54.074654,2
-4,54.428082,2
-2,54.428082,2
3,55.134941,2
2,55.488369,2
-4,55.841797,2
-4,55.841797,2
-6,56.195225,2
-9,56.902084,2
-12,57.255512,2
-16,57.255512,2
-17,57.608940,2
-14,58.315800,2
-10,58.669228,2
-13,59.022655,2
-11,59.022655,2
-6,59.729515,2
-3,60.082943,2
-4,60.436371,2
-8,60.436371,2
-4,61.143230,2
-2,61.143230,2
-9,61.850090,2
-13,62.203518,2
-13,62.203518,2
-13,62.556946,2
-12,63.263805,2
-10,63.617233,2
-11,63.617233,2
-6,63.970661,2
-5,64.324089,2
-5,64.677521,2
-3,65.030952,2
-2,65.030952,2
0,65.737808,2
-1,65.737808,2
-5,66.444664,2
-6,66.444664,2
-6,66.444664,2
-6,67.151520,2
-8,67.151520,2
-9,67.858376,2
-8,67.858376,2
-6,67.858376,2
