反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
26,100,-7,-3,763.761963
26,100,-18,-14,764.822266
26,100,-29,-25,765.529114
26,100,-14,-10,766.942810
26,100,-20,-17,768.003113
30,100,-30,-27,769.063416
31,100,6,-43,770.477112
31,100,-12,-24,771.537415
32,100,-13,-13,772.597717
33,100,-6,-20,773.658020
33,100,-7,-22,774.718323
33,100,0,-2,776.132019
33,100,4,1,777.192322
34,100,3,1,778.252625
34,100,5,-12,779.312927
34,100,-1,-5,780.373230
34,100,-3,-7,781.786926
34,100,-10,-14,782.493774
34,100,-12,-16,783.554077
35,100,-15,-19,784.967773
36,100,-7,-24,786.381470
36,100,-12,-29,787.088318
36,100,-14,-19,788.502014
37,100,-22,-27,789.208862
38,100,-12,-31,790.622559
38,100,-7,-27,792.036255
38,100,-10,-17,793.096558
38,100,-15,-23,793.803406
38,100,-5,-12,795.217102
38,100,-16,-23,795.923950
38,100,-3,-11,797.337646
40,100,2,-5,798.397949
39,100,20,-15,799.811646
39,100,-15,-13,800.518494
39,100,-10,-19,801.578796
40,100,-4,-13,802.992493
40,100,-10,-33,803.699341
40,100,-17,-27,804.759644
40,100,-21,-31,806.173340
40,100,-10,-20,807.233643
40,100,-13,-23,808.293945
40,100,-12,-22,809.354248
40,100,-10,-20,810.414551
40,100,-7,-17,811.474854
41,100,4,-6,812.535156
40,100,20,-4,813.595459
40,100,8,9,814.655762
41,100,7,-3,815.362610
41,100,20,-3,816.776306
41,100,3,-9,817.836609
41,100,-5,-16,818.543457
41,100,1,-10,819.957153
41,100,-15,-26,820.664001
41,100,-17,-29,821.724304
41,100,-10,-21,823.138000
41,100,-19,-31,823.844849
41,100,-7,-18,824.905151
42,100,-4,-16,825.965454
42,100,7,-18,827.025757
42,100,6,-6,828.086060
42,100,12,-1,829.146362
42,100,23,10,830.206665
