反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
0,0,32,0,0,1585
0,0,31,0,0,1588
0,0,37,0,0,1592
0,0,39,0,0,1595
0,0,40,0,0,1598
0,0,48,0,0,1602
0,0,52,0,0,1605
0,0,62,0,0,1608
0,0,62,0,0,1612
0,0,63,0,0,1615
0,0,69,0,0,1618
0,0,73,0,0,1622
0,0,75,0,0,1625
0,0,77,0,0,1628
0,0,76,0,0,1632
0,0,70,0,0,1635
0,0,73,0,0,1638
0,0,86,0,0,1642
0,0,76,0,0,1645
0,0,81,0,0,1648
0,0,74,0,0,1652
0,0,77,0,0,1655
0,0,72,0,0,1658
0,0,69,0,0,1662
0,0,77,0,0,1665
0,0,67,0,0,1668
0,0,67,0,0,1672
0,0,51,0,0,1675
0,0,53,0,0,1678
0,0,46,0,0,1682
0,0,44,0,0,1685
0,0,40,0,0,1688
0,0,32,0,0,1692
0,0,27,0,0,1695
0,0,21,0,0,1698
0,0,18,0,0,1702
0,0,13,0,0,1705
0,0,10,0,0,1708
0,0,0,0,0,1712
0,0,8,0,0,1715
0,0,-9,0,0,1718
0,0,-13,0,0,1722
0,0,-11,0,0,1725
0,0,-18,0,0,1728
0,0,-9,0,0,1732
0,0,-23,0,0,1735
0,0,-17,0,0,1738
0,0,-32,0,0,1742
0,0,-19,0,0,1745
0,0,-22,0,0,1749
0,0,-28,0,0,1752
0,0,-28,0,0,1756
0,0,-39,0,0,1759
0,0,-21,0,0,1762
0,0,-38,0,0,1765
0,0,-29,0,0,1769
0,0,-29,0,0,1772
0,0,-28,0,0,1776
0,0,-25,0,0,1779
0,0,-44,0,0,1782
0,0,-21,0,0,1786
0,0,-41,0,0,1789
0,0,-21,0,0,1792
0,0,-30,0,0,1796
0,0,-22,0,0,1799
0,0,-22,0,0,1802
0,0,-29,0,0,1806
0,0,-12,0,0,1809
0,0,-18,0,0,1812
0,0,-8,0,0,1816
0,0,-10,0,0,1819
0,0,3,0,0,1822
0,0,4,0,0,1826
0,0,16,0,0,1829
0,0,13,0,0,1832
0,0,22,0,0,1836
0,0,27,0,0,1839
0,0,26,0,0,1842
0,0,34,0,0,1846
0,0,28,0,0,1849
0,0,32,0,0,1853
0,0,37,0,0,1856
0,0,42,0,0,1859
0,0,46,0,0,1862
0,0,54,0,0,1866
0,0,53,0,0,1869
0,0,64,0,0,1873
0,0,52,0,0,1876
0,0,43,0,0,1880
0,0,36,0,0,1883
0,0,29,0,0,1886
0,0,16,0,0,1890
0,0,9,0,0,1893
0,0,15,0,0,1896
0,0,8,0,0,1900
0,0,25,0,0,1903
0,0,13,0,0,1906
0,0,20,0,0,1910
0,0,13,0,0,1913
