反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
17,5,-8,10,138.544144
17,3,-8,0,139.251007
17,-6,-8,0,140.664719
17,8,-8,0,141.371582
17,3,-8,0,142.431870
17,2,-8,0,143.845581
16,-2,-9,-10,144.905869
16,3,-9,0,145.612732
16,5,-9,0,147.026443
16,-1,-9,0,147.733307
16,-1,-9,0,148.793594
17,-4,-8,10,150.207306
17,2,-8,0,151.267593
17,3,-8,0,152.327881
17,-2,-8,0,153.388168
18,-2,-8,10,154.448456
18,-2,-8,0,155.862167
18,1,-8,0,156.569031
18,0,-8,0,157.982742
19,-3,-7,10,159.043030
19,-2,-7,0,160.103317
19,-4,-7,0,161.517029
19,3,-7,0,162.577316
19,0,-7,0,163.991028
19,-5,-7,0,165.051315
20,-4,-6,10,166.111603
20,-5,-6,0,167.171890
20,-5,-6,0,168.585602
20,-8,-6,0,169.645889
20,-10,-6,0,171.059601
20,-9,-6,0,172.119888
22,-6,-4,20,173.533600
22,-3,-4,0,174.240463
22,-9,-4,0,175.654175
22,-1,-4,0,177.067886
23,0,-4,10,178.128174
23,1,-4,0,179.541885
24,-3,-3,10,180.602173
24,-5,-3,0,182.015884
24,-4,-3,0,183.429596
24,-7,-3,0,184.489883
24,0,-3,0,185.550171
24,-4,-3,0,186.610458
24,-9,-3,0,188.024170
25,0,-2,10,189.437881
28,-4,0,30,190.851593
27,-8,0,-10,191.911880
27,2,0,0,192.972168
27,0,0,0,194.385880
27,-3,0,0,195.446167
29,-7,0,20,196.859879
30,6,1,10,198.273590
30,6,1,0,199.687302
30,-3,1,0,201.101013
30,-2,1,0,202.161301
30,0,1,0,203.221588
32,2,3,20,204.635300
32,0,3,0,206.049011
32,-5,3,0,207.109299
33,-8,4,10,208.169586
33,0,4,0,209.583298
33,-1,4,0,210.997009
33,-4,4,0,212.410721
33,-12,4,0,213.824432
35,3,5,20,215.238144
36,1,6,10,216.651855
35,-13,5,-10,218.065567
36,-12,6,10,219.125854
36,-4,6,0,220.539566
36,-3,6,0,221.953278
36,-13,6,0,223.013565
36,1,6,0,224.427277
36,-3,6,0,225.840988
39,-6,8,30,227.254700
42,-7,11,30,228.668411
42,-10,11,0,229.728699
42,-5,11,0,231.142410
42,-13,11,0,232.556122
42,-13,11,0,233.616409
42,-17,11,0,235.383560
41,-17,10,-10,236.797272
41,-7,10,0,237.857559
41,-6,10,0,239.271271
41,4,10,0,240.684982
42,8,11,10,242.098694
38,4,8,-40,243.512405
38,1,8,0,244.572693
