反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,15,-24,0,760.93457,,,
0,18,-24,0,762.348267,,,
0,15,-24,0,764.468872,,,
0,14,-24,0,766.589478,,,
0,18,-24,0,768.003174,,,
0,14,-24,0,770.123779,,,
0,13,-24,0,772.244385,,,
0,15,-24,0,773.658081,,,
0,14,-24,0,775.778687,,,
0,13,-24,0,777.899292,,,
0,16,-24,0,779.312988,,,
0,10,-24,0,781.433594,,,
0,11,-24,0,783.554199,,,
0,12,-24,0,784.967896,,,
0,10,-24,0,787.088501,,,
0,5,-24,0,789.209106,,,
0,9,-24,0,790.622803,,,
0,7,-24,0,792.743408,,,
0,6,-24,0,794.864014,,,
0,5,-24,0,796.27771,,,
0,3,-24,0,798.398315,,,
0,2,-24,0,800.518921,,,
0,3,-24,0,801.932617,,,
0,3,-24,0,804.053223,,,
0,1,-24,0,806.173828,,,
0,4,-24,0,807.587524,,,
0,6,-24,0,809.70813,,,
0,3,-24,0,811.828735,,,
0,4,-24,0,813.242432,,,
0,8,-24,0,815.363037,,,
0,7,-24,0,817.483643,,,
0,14,-24,0,818.897339,,,
0,13,-24,0,820.66449,,,
0,12,-24,0,822.785034,,,
0,17,-24,0,824.552185,,,
0,16,-24,0,826.319336,,,
0,16,-24,0,828.439941,,,
0,23,-24,0,830.207092,,,
0,21,-24,0,831.974243,,,
0,21,-24,0,834.094849,,,
0,27,-24,0,835.862,,,
0,25,-24,0,837.62915,,,
0,22,-24,0,839.749756,,,
0,28,-24,0,841.516907,,,
0,27,-24,0,843.284058,,,
0,27,-24,0,845.404663,,,
0,32,-24,0,847.171814,,,
0,25,-24,0,848.938965,,,
0,24,-24,0,851.05957,,,
0,33,-24,0,852.826721,,,
0,30,-24,0,854.593872,,,
0,27,-24,0,856.714478,,,
0,32,-24,0,858.481628,,,
0,30,-24,0,860.248779,,,
0,31,-24,0,862.01593,,,
0,31,-24,0,863.783081,,,
0,28,-24,0,865.903687,,,
0,29,-24,0,867.670837,,,
0,34,-24,0,869.437988,,,
0,31,-24,0,871.558594,,,
0,26,-24,0,873.325745,,,
0,32,-24,0,875.092896,,,
0,24,-24,0,877.213501,,,
0,20,-24,0,878.980652,,,
0,28,-24,0,880.747803,,,
0,29,-24,0,882.868408,,,
0,21,-24,0,884.635559,,,
0,20,-24,0,886.049255,,,
0,22,-24,0,888.1698,,,
0,23,-24,0,890.290405,,,
0,22,-24,0,891.704102,,,
0,17,-24,0,893.824707,,,
0,15,-24,0,895.945312,,,
0,21,-24,0,897.359009,,,
0,18,-24,0,899.479614,,,
0,18,-24,0,901.246765,,,
0,22,-24,0,903.013916,,,
0,23,-24,0,904.781067,,,
0,23,-24,0,906.901611,,,
0,23,-24,0,908.668762,,,
0,24,-24,0,910.435913,,,
0,26,-24,0,912.556519,,,
0,28,-24,0,914.677124,,,
0,22,-24,0,916.09082,,,
0,27,-24,0,917.857971,,,
0,30,-24,0,919.625122,,,
0,27,-24,0,921.745728,,,
0,29,-24,0,923.512878,,,
0,33,-24,0,925.280029,,,
0,24,-24,0,927.400635,,,
0,29,-24,0,929.167786,,,
0,31,-24,0,930.934937,,,
0,30,-24,0,932.702087,,,
0,31,-24,0,934.822632,,,
0,35,-24,0,936.236328,,,
0,34,-24,0,938.356934,,,
0,37,-24,0,940.477539,,,
0,40,-24,0,941.891235,,,
0,34,-24,0,944.011841,,,
0,40,-24,0,946.132446,,,
0,45,-24,0,947.546143,,,
0,45,-24,0,949.666748,,,
0,50,-24,0,951.433899,,,
0,50,-24,0,953.20105,,,
0,51,-24,0,954.968201,,,
0,53,-24,0,957.088745,,,
0,59,-24,0,958.855896,,,
0,57,-24,0,960.623047,,,
0,59,-24,0,962.390198,,,
0,63,-24,0,964.157349,,,
0,62,-24,0,966.277954,,,
0,60,-24,0,968.045105,,,
0,68,-24,0,969.812256,,,
0,63,-24,0,971.932861,,,
0,60,-24,0,973.346558,,,
0,60,-24,0,975.467163,,,
0,54,-24,0,976.880859,,,
0,50,-24,0,979.001465,,,
0,51,-24,0,980.768616,,,
0,50,-24,0,982.535767,,,
0,47,-24,0,984.656372,,,
0,45,-24,0,986.423523,,,
0,46,-24,0,988.190674,,,
0,43,-24,0,990.311279,,,
0,40,-24,0,992.07843,,,
0,44,-24,0,993.492126,,,
0,42,-24,0,995.612671,,,
0,39,-24,0,997.733276,,,
0,44,-24,0,999.146973,,,
0,42,-24,0,1001.267578,,,
0,41,-24,0,1003.388184,,,
0,44,-24,0,1004.80188,,,
0,42,-24,0,1006.215576,,,
0,34,-24,0,1008.336182,,,
0,40,-24,0,1010.456787,,,
0,40,-24,0,1011.870483,,,
0,38,-24,0,1013.991089,,,
0,33,-24,0,1016.111694,,,
0,30,-24,0,1017.525391,,,
0,33,-24,0,1019.292542,,,
0,32,-24,0,1021.413086,,,
0,31,-24,0,1023.180237,,,
0,33,-24,0,1024.593994,,,
0,30,-24,0,1026.7146,,,
0,32,-24,0,1028.481689,,,
0,35,-24,0,1030.248779,,,
0,34,-24,0,1032.015869,,,
0,33,-24,0,1034.136475,,,
0,34,-24,0,1035.903564,,,
0,35,-24,0,1037.670654,,,
0,38,-24,0,1039.437744,,,
0,36,-24,0,1041.204834,,,
0,31,-24,0,1042.971924,,,
0,31,-24,0,1044.739014,,,
0,32,-24,0,1046.859619,,,
0,30,-24,0,1048.626709,,,
0,31,-24,0,1050.393799,,,
0,30,-24,0,1052.514404,,,
0,26,-24,0,1054.281494,,,
0,26,-24,0,1055.69519,,,
0,27,-24,0,1057.46228,,,
0,19,-24,0,1059.582886,,,
0,25,-24,0,1061.349976,,,
0,23,-24,0,1063.117065,,,
0,16,-24,0,1064.884155,,,
0,18,-24,0,1066.651245,,,
0,17,-24,0,1068.418335,,,
0,15,-24,0,1070.185425,,,
0,16,-24,0,1072.30603,,,
0,13,-24,0,1074.07312,,,
0,3,-24,0,1075.84021,,,
0,1,-24,0,1077.253906,,,
0,4,-24,0,1079.374512,,,
0,0,-24,0,1081.141602,,,
0,0,-24,0,1082.908691,,,
0,-5,-24,0,1085.029297,,,
0,-8,-24,0,1086.442993,,,
0,-6,-24,0,1088.563599,,,
0,-8,-24,0,1089.977295,,,
0,-17,-24,0,1092.0979,,,
0,-20,-24,0,1093.86499,,,
0,-12,-24,0,1095.63208,,,
0,-12,-24,0,1097.39917,,,
0,-19,-24,0,1099.16626,,,
0,-13,-24,0,1101.286865,,,
0,-14,-24,0,1102.700562,,,
0,-17,-24,0,1104.821167,,,
0,-13,-24,0,1106.234863,,,
0,-10,-24,0,1108.355469,,,
0,-10,-24,0,1110.122559,,,
0,-7,-24,0,1111.889648,,,
0,-3,-24,0,1113.656738,,,
0,1,-24,0,1115.423828,,,
0,-1,-24,0,1117.190918,,,
0,0,-24,0,1118.958008,,,
0,4,-24,0,1121.078613,,,
0,3,-24,0,1122.845703,,,
0,-3,-24,0,1124.259399,,,
0,8,-24,0,1126.380005,,,
0,9,-24,0,1128.147095,,,
0,4,-24,0,1129.914185,,,
0,4,-24,0,1131.327881,,,
0,-3,-24,0,1133.448486,,,
0,6,-24,0,1135.569092,,,
0,5,-24,0,1136.982788,,,
0,4,-24,0,1138.749878,,,
0,5,-24,0,1140.516968,,,
0,6,-24,0,1142.637573,,,
0,4,-24,0,1144.05127,,,
0,7,-24,0,1145.818359,,,
0,12,-24,0,1147.938965,,,
0,12,-24,0,1149.706055,,,
0,18,-24,0,1151.473145,,,
0,27,-24,0,1152.886841,,,
0,22,-24,0,1155.007446,,,
0,31,-24,0,1156.774536,,,
0,34,-24,0,1158.541626,,,
0,35,-24,0,1160.308716,,,
0,38,-24,0,1162.075806,,,
0,41,-24,0,1163.489502,,,
0,38,-24,0,1165.610107,,,
0,41,-24,0,1167.377197,,,
0,45,-24,0,1169.144287,,,
0,40,-24,0,1170.911377,,,
0,41,-24,0,1173.031982,,,
0,39,-24,0,1174.445679,,,
0,39,-24,0,1176.212769,,,
0,43,-24,0,1177.979858,,,
0,43,-24,0,1180.100464,,,
0,39,-24,0,1181.51416,,,
0,37,-24,0,1183.28125,,,
0,42,-24,0,1185.04834,,,
0,42,-24,0,1187.168945,,,
0,45,-24,0,1188.582642,,,
0,56,-24,0,1190.349731,,,
0,48,-24,0,1192.116821,,,
0,50,-24,0,1194.237427,,,
0,55,-24,0,1195.651123,,,
0,54,-24,0,1197.418213,,,
0,53,-24,0,1199.538818,,,
0,52,-24,0,1200.952515,,,
0,56,-24,0,1203.07312,,,
0,44,-24,0,1204.486816,,,
0,47,-24,0,1206.607422,,,
0,46,-24,0,1208.021118,,,
0,38,-24,0,1210.141724,,,
0,38,-24,0,1211.55542,,,
0,34,-24,0,1213.676025,,,
0,28,-24,0,1215.089722,,,
0,29,-24,0,1217.210327,,,
0,26,-24,0,1218.977417,,,
0,20,-24,0,1220.744507,,,
0,18,-24,0,1222.158203,,,
0,22,-24,0,1224.278809,,,
0,20,-24,0,1226.045898,,,
0,23,-24,0,1227.459595,,,
0,29,-24,0,1229.226685,,,
0,25,-24,0,1231.34729,,,
0,32,-24,0,1233.11438,,,
0,33,-24,0,1234.528076,,,
0,30,-24,0,1236.648682,,,
0,33,-24,0,1238.415771,,,
0,36,-24,0,1240.182861,,,
0,33,-24,0,1241.596558,,,
0,29,-24,0,1243.717163,,,
0,33,-24,0,1245.484253,,,
0,27,-24,0,1247.251343,,,
0,24,-24,0,1248.665039,,,
0,19,-24,0,1250.785645,,,
0,16,-24,0,1252.199341,,,
0,9,-24,0,1254.319946,,,
0,4,-24,0,1255.733643,,,
0,4,-24,0,1257.854248,,,
0,3,-24,0,1259.267944,,,
0,-3,-24,0,1261.38855,,,
0,-4,-24,0,1262.802246,,,
0,-8,-24,0,1264.569336,,,
0,-9,-24,0,1266.689941,,,
0,-9,-24,0,1268.457031,,,
0,-10,-24,0,1269.870728,,,
0,-10,-24,0,1271.637817,,,
0,-10,-24,0,1273.758423,,,
0,-15,-24,0,1275.172119,,,
0,-12,-24,0,1276.939209,,,
0,-13,-24,0,1278.706299,,,
0,-15,-24,0,1280.473389,,,
0,-15,-24,0,1282.240479,,,
0,-20,-24,0,1284.007568,,,
0,-20,-24,0,1285.774658,,,
0,-19,-24,0,1287.541748,,,
0,-25,-24,0,1289.308838,,,
0,-22,-24,0,1291.075928,,,
0,-26,-24,0,1292.843018,,,
0,-31,-24,0,1294.256714,,,
0,-29,-24,0,1296.377319,,,
0,-26,-24,0,1298.144409,,,
0,-30,-24,0,1299.911499,,,
0,-32,-24,0,1301.325195,,,
0,-27,-24,0,1303.092285,,,
0,-39,-24,0,1304.859375,,,
0,-24,-24,0,1306.97998,,,
0,-18,-24,0,1308.393677,,,
0,-36,-24,0,1310.160767,,,
0,-28,-24,0,1311.927856,,,
0,-26,-24,0,1313.694946,,,
0,-27,-24,0,1315.462036,,,
0,-22,-24,0,1317.229126,,,
0,-24,-24,0,1318.996216,,,
0,-19,-24,0,1320.409912,,,
0,-17,-24,0,1322.530518,,,
0,-17,-24,0,1324.297607,,,
0,-18,-24,0,1325.711304,,,
0,-19,-24,0,1327.478394,,,
0,-15,-24,0,1329.598999,,,
0,-14,-24,0,1331.012695,,,
0,-9,-24,0,1332.779785,,,
0,-7,-24,0,1334.546875,,,
0,-10,-24,0,1336.313965,,,
0,-8,-24,0,1338.081055,,,
0,4,-24,0,1339.848145,,,
0,2,-24,0,1341.261841,,,
0,-6,-24,0,1343.028931,,,
0,6,-24,0,1345.149536,,,
0,5,-24,0,1346.563232,,,
0,5,-24,0,1348.330322,,,
0,12,-24,0,1349.744019,,,
0,15,-24,0,1351.864624,,,
0,4,-24,0,1353.631714,,,
0,10,-24,0,1355.398804,,,
0,21,-24,0,1356.8125,,,
0,16,-24,0,1358.933105,,,
0,16,-24,0,1360.346802,,,
0,22,-24,0,1362.467407,,,
0,19,-24,0,1363.881104,,,
0,15,-24,0,1365.2948,,,
0,16,-24,0,1367.415405,,,
0,15,-24,0,1369.182495,,,
0,12,-24,0,1370.949585,,,
0,18,-24,0,1372.363281,,,
0,14,-24,0,1374.130371,,,
0,7,-24,0,1375.897461,,,
0,15,-24,0,1377.664551,,,
0,16,-24,0,1379.431641,,,
0,6,-24,0,1381.19873,,,
0,6,-24,0,1382.612427,,,
0,11,-24,0,1384.733032,,,
0,8,-24,0,1386.146729,,,
0,14,-24,0,1388.267334,,,
0,16,-24,0,1389.68103,,,
0,10,-24,0,1391.44812,,,
0,9,-24,0,1393.21521,,,
0,16,-24,0,1394.628906,,,
0,17,-24,0,1396.749512,,,
0,10,-24,0,1398.516602,,,
0,18,-24,0,1399.930298,,,
0,11,-24,0,1401.343994,,,
0,13,-24,0,1403.4646,,,
