反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,100,-148,-148,-618.501648,,,
0,100,-148,-148,-620.268799,,,
0,100,-148,-148,-622.389404,,,
0,100,-148,-148,-624.156555,,,
0,100,-148,-148,-626.2771,,,
0,100,-148,-148,-628.397705,,,
0,100,-148,-148,-630.518311,,,
0,100,-148,-148,-632.638916,,,
0,100,-148,-148,-634.406067,,,
0,100,-148,-148,-636.880066,,,
0,100,-148,-148,-638.647217,,,
0,100,-148,-148,-640.767822,,,
0,100,-148,-148,-642.534973,,,
0,100,-148,-148,-645.008972,,,
0,100,-148,-148,-646.776123,,,
0,100,-148,-148,-648.543274,,,
0,100,-148,-148,-651.017273,,,
0,100,-148,-148,-652.784424,,,
0,100,-148,-148,-654.905029,,,
0,100,-148,-148,-657.025635,,,
0,100,-148,-148,-659.14624,,,
0,100,-148,-148,-661.266846,,,
0,100,-148,-148,-663.387451,,,
0,100,-148,-148,-665.154602,,,
0,100,-148,-148,-667.275146,,,
0,100,-148,-148,-669.395752,,,
0,100,-148,-148,-671.162903,,,
0,100,-148,-148,-673.283447,,,
0,100,-148,-148,-675.404053,,,
0,100,-148,-148,-677.524658,,,
0,100,-148,-148,-679.645264,,,
0,100,-148,-148,-681.765869,,,
0,100,-148,-148,-683.886475,,,
0,100,-148,-148,-685.653625,,,
0,100,-148,-148,-687.77417,,,
0,100,-148,-148,-689.894775,,,
0,100,-148,-148,-691.661926,,,
0,100,-148,-148,-693.782471,,,
0,100,-148,-148,-695.903076,,,
0,100,-148,-148,-698.023682,,,
0,100,-148,-148,-699.790833,,,
0,100,-148,-148,-702.264832,,,
0,100,-148,-148,-704.031982,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
